index,longitude,latitude
0,-74.01023864746094,40.720558166503906
1,-74.00991821289062,40.720951080322266
2,-74.0102005004883,40.721057891845696
3,-74.01009368896483,40.72111892700195
4,-74.01007843017578,40.72106552124024
5,-74.010009765625,40.720802307128906
6,-74.01000213623048,40.720951080322266
7,-74.00989532470702,40.72100067138672
8,-74.01004028320312,40.720718383789055
9,-74.01006317138672,40.72092056274415
10,-74.00968933105469,40.72077941894531
11,-74.00999450683594,40.72095489501953
12,-74.01022338867188,40.72100067138672
13,-74.01014709472656,40.72099685668945
14,-74.010009765625,40.72041320800781
15,-74.01001739501955,40.72082901000977
16,-74.0101089477539,40.72098922729492
17,-74.01007080078125,40.721015930175774
18,-74.01000213623048,40.720951080322266
19,-74.00993347167969,40.72105026245117
20,-74.01023864746094,40.72085189819336
21,-74.00997924804686,40.72079086303711
22,-74.0099105834961,40.720985412597656
23,-74.01023864746094,40.72047805786133
24,-74.0099868774414,40.72098159790039
25,-74.01001739501955,40.72077941894531
26,-74.00997161865234,40.72085189819336
27,-74.00997161865234,40.72090530395508
28,-74.010009765625,40.72103118896485
